api-1  | Servidor rodando em http://0.0.0.0:8000
api-1  | 172.18.0.1 - DELETE /produtos/10%22+AND+%221%22%3D%221 HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/10%27+AND+%271%27%3D%271 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/10%27+AND+%271%27%3D%271 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/10%27+AND+%271%27%3D%271 HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/10%22+AND+%221%22%3D%221 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/10%22+AND+%221%22%3D%221 HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome%27+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/10%22+AND+%221%22%3D%221 HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/10+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/10%22+AND+%221%22%3D%221 HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/10+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/10+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/10+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome%22+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/10%27+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/10+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/10%27+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/10%27+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/10%27+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome%29+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - DELETE /produtos/10%22+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/10%27+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /produtos/10%22+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - DELETE /usuarios/10%22+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - POST /produtos HTTP/1.1
api-1  | 172.18.0.1 - PUT /produtos/10%22+UNION+ALL+select+NULL+--+ HTTP/1.1
api-1  | 172.18.0.1 - GET /usuarios/busca/?nome=nome%27%29+UNION+ALL+select+NULL+--+ HTTP/1.1
