ID,Requisição de Timestamp,Timestamp de Resposta,Método,URL,Código,Motivo,RTT,Tamanho do Cabeçalho da Resposta,Tamanho do Corpo da Resposta
5137,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,GET,http://localhost:5001/705985696059009735,404,NOT FOUND,4,182,205
5139,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,GET,http://localhost:5001/books/5471118658568905793,404,NOT FOUND,4,182,205
5141,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,GET,http://localhost:5001/books/v1/2779882226521832505,401,UNAUTHORIZED,3,185,119
5143,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,GET,http://localhost:5001/users/1383706314212001332,404,NOT FOUND,4,182,205
5145,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,GET,http://localhost:5001/users/v1/194160432596406470,404,NOT FOUND,5,173,48
5147,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,GET,http://localhost:5001/users/v1/name1/8890210236142933017,404,NOT FOUND,3,182,205
5149,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,POST,http://localhost:5001/books/v1,401,UNAUTHORIZED,8,185,119
5150,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,DELETE,http://localhost:5001/users/v1/name1,401,UNAUTHORIZED,11,185,119
5151,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,POST,http://localhost:5001/users/v1/login,200,OK,12,166,65
5152,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,PUT,http://localhost:5001/users/v1/name1/email,401,UNAUTHORIZED,13,185,119
5153,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,GET,http://localhost:5001,200,OK,14,167,271
5154,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,PUT,http://localhost:5001/users/v1/name1/password,401,UNAUTHORIZED,19,185,119
5155,Mon Jun 01 01:22:46 GMT-03:00 2026,Mon Jun 01 01:22:46 GMT-03:00 2026,POST,http://localhost:5001/users/v1/register,200,OK,22,166,69
